2065;257
2115;20
2089;360
2089;359
2009;43
2070;291
2070;290
2175;23
2169;667
2159;627
2130;519
2063;264
2006;28
2126;374
2080;13
2004;18
2052;220
2028;13
2129;514
2034;149
2154;279
2101;409
2074;307
2118;251
2001;5
2204;777
2204;776
2144;73
2137;548
2076;315
2190;734
2014;63
2077;20
2184;712
2026;117
2026;116
2064;267
2055;233
2013;61
2099;400
2079;28
2083;339
2150;139
2146;581
2062;261
2021;28
2149;473
2109;438
2042;179
2205;783
2205;782
2157;620
2148;587
2140;560
2140;559
2024;106
2183;257
2046;197
2002;5
2174;438
2128;510
2019;51
2008;38
2158;625
2161;635
2023;18
2082;334
2082;333
2015;68
2007;33
2202;770
2122;354
2201;765
2188;728
2134;33
2168;650
2020;90
2088;354
2038;164
2032;139
2075;28
2179;90
2078;318
2092;371
2113;457
2084;127
2073;302
2018;83
2018;82
2173;33
2125;333
2203;139
2138;310
2068;139
2124;499
2110;443
2136;543
2095;382
2058;247
2182;705
2127;175
2120;483
2069;23
2176;20
2097;391
2094;175
2027;77
2207;792
2195;524
2208;127
2206;788
2206;68
2198;139
2191;220
2005;23
2187;723
2112;452
2112;451
2059;251
2017;77
2156;615
2107;430
2041;175
2119;127
2178;20
2056;238
2147;543
2022;90
2151;519
2131;524
2096;90
2163;643
2000;0
2170;339
2087;157
2196;5
2177;134
2016;73
2114;462
2172;677
2061;23
2181;90
2040;73
2152;601
2152;600
2193;731
2142;568
2123;63
2123;197
2049;73
2085;179
2053;175
2180;187
2060;215
2067;279
2111;56
2066;275
2209;220
2153;605
2057;134
2106;427
2011;51
2093;374
2192;741
2192;468
2141;565
2054;228
2165;650
2029;127
2189;731
2186;720
2162;581
2116;468
2103;417
2103;416
2100;405
2039;168
2090;220
2045;192
2108;56
2072;38
2051;215
2050;139
2047;139
2043;28
2194;427
2117;134
2102;413
2035;90
2155;612
2048;139
2166;655
2145;279
2003;13
2012;56
2160;631
2135;538
2081;328
2167;660
2044;187
2037;5
2200;762
2200;761
2086;347
2031;134
2025;111
2036;157
2033;144
2210;20
2185;56
2139;413
2030;51
2105;360
2098;396
2121;488
2104;90
2071;139
2199;620
2143;573
2010;13
2197;692
2164;215
2091;18
